OID_,OBJECTID_1,OBJECTID_2,OBJECTID,GEOMETRYID,CREATEDATE,EDITDATE,NOTES,TRLNAME,TRLSTATUS,TRLSURFACE,TRLUSE,CREATEUSER,EDITUSER,TRLALTNAME,MAPLABEL,TRLTYPE,TRLCLASS,SEASDESC,MAINTAINER,ISEXTANT,UNITCODE,UNITNAME,GROUPCODE,REGIONCODE,MAPMETHOD,MAPSOURCE,SRCESCALE,SOURCEDATE,XYACCURACY,FACLOCID,FACASSETID,FEATUREID,SEASONAL,TRLFEATTYP,SEGNAME,SEGMENT,UNIT,UNITNUM,STANDARD,USERCLASS,HORSE_USE,OLDNAME,FMSSINFO,FMSS_YRBLT,Lngth_Mtrs,Lngth_Mile,GlobalID,Shape_Leng,PUBLICDISP,DATAACCESS,Shape__Len,GlobalID_2,min_elevat,max_elevat,total_elev
0,1.000000000000000,1.000000000000000,1.000000000000000,c1d41ffa-0892-4d61-805b-1ada095da500,1442534400000.000000000000000,1691165491239.000000000000000, ,Comanche Peak Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,COMANCHE PEAK TRAIL,Comanche Peak Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14955, , ,No,Park Trail,COMANCHE PEAK,PO-05,POUDRE,10.000000000000000,E,ALL,Y,COMANCHE PEAK TRAIL,PO-05 Comanche Peak Trail,1915,3736.599511058720054,2.317251759726130,{7F7445D9-A82F-4459-AE4C-504C37776DA9},3735.260538550000092,Public Map Display,Unrestricted,3727.926319718899776,fb9b5a75-cb50-4cba-a9a0-ff8a1d3c7460,3362.511718750000000,3670.790283203125000,308.278564453125000
1,2.000000000000000,2.000000000000000,2.000000000000000,89adda76-9d73-4fed-91c9-7c978517577c,1442534400000.000000000000000,1691164732077.000000000000000, ,Mirror Lake,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,MIRROR LAKE TRAIL,Mirror Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14954, , ,No,Park Trail,MIRROR LAKE,PO-04,POUDRE,10.000000000000000,E,F,Y,MIRROR LAKE TRAIL,PO-04 Mirror Lake Trail,1915,1375.128066454029977,0.854463257201626,{C709FB2E-9390-410F-BDCF-419B97131C2F},1374.636920019999934,Public Map Display,Unrestricted,1374.636920019469926,35e90dcd-83ad-4154-bad5-8bed69c2219d,3362.511718750000000,3670.790283203125000,308.278564453125000
2,3.000000000000000,3.000000000000000,3.000000000000000,def39771-4481-4816-8ca4-31ce682382b5,1442534400000.000000000000000,1691165734075.000000000000000, ,Mirror Lake,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,MIRROR LAKE TRAIL,Mirror Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14954, , ,No,Park Trail,MIRROR LAKE,PO-04,POUDRE,10.000000000000000,E,F,Y,MIRROR LAKE TRAIL,PO-04 Mirror Lake Trail,1915,998.271751966569013,0.620296068101702,{54E8C304-4906-4045-8DE0-8EE55C77942A},997.915328690000024,Public Map Display,Unrestricted,996.478620974953969,30ed582f-9bc5-4bda-a0bd-e1dafebe3cf7,3254.957519531250000,3439.566894531250000,107.554199218750000
3,4.000000000000000,4.000000000000000,4.000000000000000,5c51a156-32e7-4a7d-9658-7dcbf543bcd0,1442534400000.000000000000000,1691164732671.000000000000000, ,"Mummy Pass, Lower",Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,MUMMY PASS TRAIL,Mirror Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14952, , ,No,Park Trail,"MUMMY PASS, LOWER",PO-02,POUDRE,10.000000000000000,E,ALL,Y,MUMMY PASS TRAIL,"PO-02 Mummy Pass Trail,  lower portion",1915,4817.669397393479812,2.993554990141750,{7DCFE36B-81CC-4335-A05A-F5FBFE92ACF9},4815.962932639999963,Public Map Display,Unrestricted,4815.962932640310100,4b0c69b9-fa09-480e-b680-e67590e301af,3011.940429687500000,3254.957519531250000,243.017089843750000
4,5.000000000000000,5.000000000000000,5.000000000000000,d8fca1a7-819e-448e-ba3a-a781ba3dfe34,1442534400000.000000000000000,1691164732980.000000000000000, ,"Poudre River, Lower",Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LOWER SECTION POUDRE RIVER TRAIL,Mirror Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14951, , ,No,Park Trail,"POUDRE RIVER, LOWER",PO-01,POUDRE,10.000000000000000,E,ALL,Y,LOWER SECTION POUDRE RIVER TRAIL,"PO-01 Poudre River Trail, lower portion",1915,732.009838540328019,0.454848916403609,{0F2A7EC6-436C-4C5D-BF4D-581BCEFE58B8},731.753036059999999,Public Map Display,Unrestricted,731.753036061635953,e0277533-1299-4556-872d-bcc8d44a7c73,3011.940429687500000,3043.757080078125000,31.816650390625000
5,6.000000000000000,6.000000000000000,6.000000000000000,d048beee-69a6-4575-829f-6414c4652c56,1442534400000.000000000000000,1691164733246.000000000000000, ,"Mummy Pass, Upper",Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,MUMMY PASS TRAIL,Mummy Pass Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,14953, , ,No,Park Trail,"MUMMY PASS, UPPER",PO-03,POUDRE,10.000000000000000,E,ALL,Y,MUMMY PASS TRAIL,"PO-03 Mummy Pass Trail, upper portion",1915,5552.098092939199887,3.449906911600640,{805337A9-47C7-482B-A1E9-22327A193094},5550.095905449999918,Public Map Display,Unrestricted,5550.095905452139959,daa0d968-b882-4cc8-982f-bcaa41b83907,3254.957519531250000,3457.599365234375000,202.641845703125000
6,7.000000000000000,7.000000000000000,7.000000000000000,b0e510d6-398c-442a-b371-4010892b3679,1442534400000.000000000000000,1691164733531.000000000000000, ,Lower Lost Lake Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LOST LAKE TRAIL,Lost Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,32712, , ,No,Park Trail,"LOST LAKE, LOWER",NF-01,NORTH FORK,9.000000000000000,D,ALL,Y,LOST LAKE TRAIL,"NF-01 Lost Lake, lower portion",1912,3609.126817324409785,2.242602948201740,{8EFFF7B5-D9A8-4670-A56D-FAE87F3B3290},3607.779829659999905,Public Map Display,Unrestricted,3607.779829655280082,4eefc403-4531-4af3-9df9-3d03f4bd339b,2907.184570312500000,3076.805908203125000,169.621337890625000
7,8.000000000000000,8.000000000000000,8.000000000000000,6bace542-e83f-4e7a-9648-558bd59ca4fb,1442534400000.000000000000000,1691164733853.000000000000000, ,Lower Lost Lake Trail,Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,LOST LAKE TRAIL,Lost Lake Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,32712, , ,No,Park Trail,"LOST LAKE, LOWER",NF-01,NORTH FORK,9.000000000000000,D,ALL,Y,LOST LAKE TRAIL,"NF-01 Lost Lake, lower portion",1912,1334.779085265689901,0.829391612798454,{23800BEF-ABED-4CD1-B676-CE6CC4452CA5},1334.277517519999947,Public Map Display,Unrestricted,1334.277517515859927,ccfaaa66-007c-4118-b1d0-afd778e628a4,2907.184570312500000,2907.184570312500000,0.000000000000000
8,9.000000000000000,9.000000000000000,9.000000000000000,a6c9b8c1-262d-43f0-a381-1f2be1993403,1442534400000.000000000000000,1691164734123.000000000000000, ,"North Boundary, Upper",Existing,Earth,Hiker/Pedestrian | Pack and Saddle,Geoff Clark,romo_gis,NORTH BOUNDARY TRAIL,North Boundary Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,32717, , ,No,Park Trail,"NORTH BOUNDARY, UPPER",NF-04,NORTH FORK,0.000000000000000,E,F/E,Y,NORTH BOUNDARY TRAIL,"NF-04 North Boundary, upper portion",1915,6996.369414819900157,4.347333709934650,{4DAF7BF7-ED62-4740-B0C6-5D50791CA8BB},6993.737530350000270,Public Map Display,Unrestricted,6993.737530345109917,a0dee105-05d5-4a5a-bd0c-df2aa6253fe6,2534.220703125000000,3034.448730468750000,372.963867187500000
9,10.000000000000000,10.000000000000000,10.000000000000000,{02156C20-745F-4D86-86D5-E6F2DDE761B3},1442534400000.000000000000000,1691164734385.000000000000000, ,Upper Crystal Lake Trail,Existing,Earth,Hiker/Pedestrian,Geoff Clark,romo_gis,CRYSTAL LAKE TRAIL,Crystal Lakes Tr,Standard Terra Trail,Class 3: Developed,NA,National Park Service,True,ROMO,Rocky Mountain National Park,ROMO,IMR,Digitized/GNSS,Digitized/GNSS,1:10000, ,3-5m,40136, , ,No,Park Trail,"CRYSTAL LAKE, UPPER",RR-04,BLACK CANYON/ROARING RIVER,6.000000000000000,E,F,N,CRYSTAL LAKE TRAIL,"RR-04 Crystal Lake, upper portion",1915,570.115517330361968,0.354252650209854,{0ED62DA9-9BD2-408D-A6DF-C58687420B27},569.908315109999990,Public Map Display,Unrestricted,569.908315107007979,1c2385f6-3fcf-4ca5-af28-79a84891be36,3676.281250000000000,3683.192138671875000,6.910888671875000
